Split,Size,Avg_candidates,Gas_delta_M,Repair_time_s,TP,FN,TN,FP
Vulnerable,268,18.6±7.4,0.21±0.34,18.4±11.2,203,65,-,-
High-complexity,1100,9.2±4.1,0.05±0.12,5.8±4.9,-,-,1091,9
Regular,20000,6.1±3.0,0.01±0.06,2.3±2.1,-,-,19838,162
