dataset,size,avg_candidates_mean,avg_candidates_std,gas_delta_M_mean,gas_delta_M_std,repair_time_s_mean,repair_time_s_std,tp,fn,tn,fp,tp_percent,fn_percent,tn_percent,fp_percent
Vulnerable,268,18.6,7.4,0.21,0.34,18.4,11.2,203.0,65.0,,,75.75,24.25,,
High-Complexity,1100,9.2,4.1,0.05,0.12,5.8,4.9,,,1091.0,9.0,,,99.18,0.82
Regular,20000,6.1,3.0,0.01,0.06,2.3,2.1,,,19838.0,162.0,,,99.19,0.81
